¿œ∫∞,TOTAL
2011-08-30,118876464.2
2011-08-31,121337405.7
2011-09-01,114311370.9
2011-09-02,116590106.4
2011-09-03,90546747.32
2011-09-04,72691981.86
2011-09-05,97881502.13
2011-09-06,109434019.2
2011-09-07,106515323
2011-09-08,100579887.7
2011-09-09,97107446.4
2011-09-10,76145205.01
2011-09-11,56848959.2
2011-09-12,44106250.59
2011-09-13,52602716.04
2011-09-14,80525470.06
2011-09-15,112324842.1
2011-09-16,132075235.4
2011-09-17,107417686.4
2011-09-18,81702515.29
2011-09-19,114354527.7
2011-09-20,118330573.5
2011-09-21,112975050.1
2011-09-22,101765601.3
2011-09-23,102253052.7
2011-09-24,101488108
2011-09-25,77327795.74
2011-09-26,103024185.5
2011-09-27,103487367.9
2011-09-28,102040366.8
2011-09-29,105101848.6
2011-09-30,98457351.42
2011-10-01,83908529
2011-10-02,69598704.28
2011-10-03,74655347.55
2011-10-04,92180853.66
2011-10-05,93252486.06
2011-10-06,93090556.23
2011-10-07,94725018.14
2011-10-08,81470726.34
2011-10-09,69987895.46
2011-10-10,89764632.62
2011-10-11,95139728.85
2011-10-12,95337829.89
2011-10-13,95972310.37
2011-10-14,95895151.28
2011-10-15,79231571.43
2011-10-16,66906055.18
2011-10-17,86302610.91
2011-10-18,95458615.78
2011-10-19,93877282.46
2011-10-20,93744482.87
2011-10-21,93042077.13
2011-10-22,79839922.45
2011-10-23,67424554.37
2011-10-24,89297694.95
2011-10-25,94698187.71
2011-10-26,97648014.52
2011-10-27,96960679.98
2011-10-28,97574921.33
2011-10-29,85022890.64
2011-10-30,72247950.38
2011-10-31,87712661.73
2011-11-01,99005124.82
2011-11-02,101794820.6
2011-11-03,100636162.1
2011-11-04,101121631.4
2011-11-05,87248362.65
2011-11-06,72983493.16
2011-11-07,94116847.36
2011-11-08,102189560.6
2011-11-09,106346115.5
2011-11-10,102898489.1
2011-11-11,99392384.77
2011-11-12,85150763.63
2011-11-13,73527889.19
2011-11-14,95565841.62
2011-11-15,104626776.1
2011-11-16,104159755.4
2011-11-17,102763983.7
2011-11-18,104456289.9
2011-11-19,89958273.78
2011-11-20,81743563.49
2011-11-21,107327004.7
2011-11-22,116980303.1
2011-11-23,119703412.2
2011-11-24,126224429
2011-11-25,134698779.5
2011-11-26,100772123.4
2011-11-27,85086721.89
2011-11-28,116470729.4
2011-11-29,117276272.3
2011-11-30,114644092.6
2011-12-01,120989602.7
2011-12-02,119188622.6
2011-12-03,100041931.3
2011-12-04,88056537.18
2011-12-05,119721520.5
2011-12-06,123880278.3
2011-12-07,124149657.3
2011-12-08,129626453.6
2011-12-09,136286311.2
2011-12-10,110237487.6
2011-12-11,92043624.38
2011-12-12,125266003.3
2011-12-13,131625139.7
2011-12-14,135914883
2011-12-15,155201667.1
2011-12-16,155947784
2011-12-17,119188822.1
2011-12-18,98840965.91
2011-12-19,134731654.6
2011-12-20,139521818.3
2011-12-21,138457207.5
2011-12-22,149622065.1
2011-12-23,140718332.6
2011-12-24,109738859.2
2011-12-25,94896682.05
2011-12-26,137098972.3
2011-12-27,140949960.9
2011-12-28,135151410.3
2011-12-29,132095918
2011-12-30,124958145.7
2011-12-31,92524952.37
2012-01-01,97088874.03
2012-01-02,144825728.7
2012-01-03,156804247.6
2012-01-04,166358646.6
2012-01-05,162924094.3
2012-01-06,162138402.6
2012-01-07,128859870.3
2012-01-08,113791250.5
2012-01-09,157086577.9
2012-01-10,163069122
2012-01-11,165883179.1
2012-01-12,165895674
2012-01-13,164698095.7
2012-01-14,130934323.1
2012-01-15,112338952.5
2012-01-16,153103868.3
2012-01-17,151348998.3
2012-01-18,153447917.9
2012-01-19,148459308.7
2012-01-20,133485583.3
2012-01-21,108016882.3
2012-01-22,89425908.17
2012-01-23,80135555.06
2012-01-24,86797287.88
2012-01-25,125845394.6
2012-01-26,151477354.3
2012-01-27,151545411.2
2012-01-28,127003002.7
2012-01-29,110617150.8
2012-01-30,154321625.7
2012-01-31,164703480.8
2012-02-01,164501362.9
2012-02-02,173996509.3
2012-02-03,171918492.7
2012-02-04,124346788.7
2012-02-05,103411854.8
2012-02-06,137660753.3
2012-02-07,183970891.5
2012-02-08,202688082.2
2012-02-09,172848068.7
2012-02-10,167332249.4
2012-02-11,124210694.5
2012-02-12,102310457.2
2012-02-13,146490776.2
2012-02-14,145130256.7
2012-02-15,152562839.9
2012-02-16,146156446.5
2012-02-17,146341257.3
2012-02-18,120640328.7
2012-02-19,101757101.7
2012-02-20,134011339.1
2012-02-21,137320057.8
2012-02-22,131332675.8
2012-02-23,130433862.8
2012-02-24,126896220.5
2012-02-25,110599580.8
2012-02-26,97795034.8
2012-02-27,153326861.6
2012-02-28,137988336.9
2012-02-29,129636774.4
2012-03-01,109371630.3
2012-03-02,147551319
2012-03-03,111307531.7
2012-03-04,95042706.53
2012-03-05,149893173.4
2012-03-06,160761883.6
2012-03-07,158532877.3
2012-03-08,158279131.8
2012-03-09,160001127.9
2012-03-10,118010070.3
2012-03-11,102279024.4
2012-03-12,160674547
2012-03-13,164245174.9
2012-03-14,162863632.5
2012-03-15,161651535.9
2012-03-16,166939779.5
2012-03-17,122245351.2
2012-03-18,96435556.81
2012-03-19,160744608.4
2012-03-20,162002202.9
2012-03-21,156306768.7
2012-03-22,168704156.9
2012-03-23,163600167.6
2012-03-24,121611399.5
2012-03-25,98920662.76
2012-03-26,149478375.5
2012-03-27,149118275.6
2012-03-28,141430495.7
2012-03-29,145692294.5
2012-03-30,149700196.9
2012-03-31,112225928.4
2012-04-01,91451060.69
2012-04-02,126620422.8
2012-04-03,162962183.9
2012-04-04,144707904.7
2012-04-05,143829753.1
2012-04-06,146105512.4
2012-04-07,117067563
2012-04-08,94696555.92
2012-04-09,134594015.8
2012-04-10,140135106.6
2012-04-11,116354496.5
2012-04-12,123702703.2
2012-04-13,139940131.1
2012-04-14,110953943.9
2012-04-15,88977352.27
2012-04-16,119688381.6
2012-04-17,139163721.5
2012-04-18,136789394.7
2012-04-19,129956156.3
2012-04-20,130617530
2012-04-21,115859668
2012-04-22,91726994.75
2012-04-23,119236747.9
2012-04-24,121172744.2
2012-04-25,137401871.9
2012-04-26,127962121.6
2012-04-27,115653443.4
2012-04-28,93722299.55
2012-04-29,81472621.75
2012-04-30,109627841.8
2012-05-01,103118595.4
2012-05-02,125383219.7
2012-05-03,129478624.5
2012-05-04,132337498.5
2012-05-05,101361919.7
2012-05-06,88766301.63
2012-05-07,106108718.4
2012-05-08,117107896.7
2012-05-09,117089998.3
2012-05-10,118169535
2012-05-11,112085845.1
2012-05-12,92781976.41
2012-05-13,79109413.29
2012-05-14,108256737.5
2012-05-15,109699692.6
2012-05-16,107130678.7
2012-05-17,110088345.9
2012-05-18,113149000
2012-05-19,96035896.26
2012-05-20,80906694.99
2012-05-21,117515815.1
2012-05-22,125510457.2
2012-05-23,121645855.9
2012-05-24,116500553.8
2012-05-25,114683466.5
2012-05-26,99733261.49
2012-05-27,80964148.2
2012-05-28,90546305.4
2012-05-29,114704739.9
2012-05-30,120267077.8
2012-05-31,119831404.6
2012-06-01,116711683.7
2012-06-02,100327379.7
2012-06-03,80872365.55
2012-06-04,110026272.7
2012-06-05,121709613.2
2012-06-06,105957594.4
2012-06-07,126157993.4
2012-06-08,125501621.7
2012-06-09,104770444.4
2012-06-10,83709232.14
2012-06-11,118331064.3
2012-06-12,122703683
2012-06-13,118018508.5
2012-06-14,120431417.7
2012-06-15,118523551.4
2012-06-16,97817745.36
2012-06-17,79563293.06
2012-06-18,113429215.2
2012-06-19,118001201.7
2012-06-20,119500057.8
2012-06-21,122352234.8
2012-06-22,119908478.3
2012-06-23,100941866.6
2012-06-24,85029054.75
2012-06-25,119964587.8
2012-06-26,120947023.7
2012-06-27,120793337.6
2012-06-28,122275552.8
2012-06-29,126624433.2
2012-06-30,102622337.9
2012-07-01,96346147.23
2012-07-02,131027447.2
2012-07-03,138636240.2
2012-07-04,140284906.8
2012-07-05,140334950.1
2012-07-06,138058866.2
2012-07-07,112033227.4
2012-07-08,97309369.06
2012-07-09,134017383.4
2012-07-10,138347527.2
2012-07-11,137433593.7
2012-07-12,136928517.4
2012-07-13,138750586.4
2012-07-14,113835631.4
2012-07-15,93442726.21
2012-07-16,126340594.6
2012-07-17,136304069.4
2012-07-18,139387563.8
2012-07-19,138542101
2012-07-20,138179579.1
2012-07-21,119504969.7
2012-07-22,101922085.3
2012-07-23,136040868.7
2012-07-24,146912610
2012-07-25,151280497.4
2012-07-26,152771865.8
2012-07-27,152130505.7
2012-07-28,126848262.5
2012-07-29,108025866.4
2012-07-30,135592928.2
2012-07-31,139964687.1
2012-08-01,132766810.1
2012-08-02,128896472.2
2012-08-03,131675634.5
2012-08-04,111739016.6
2012-08-05,106561166.7
2012-08-06,139290560.1
2012-08-07,142784146.2
2012-08-08,143663963.7
2012-08-09,146656846.1
2012-08-10,138690613.1
2012-08-11,113810552.3
2012-08-12,94028584.36
2012-08-13,122732256.9
2012-08-14,125301250.7
2012-08-15,111357531.2
2012-08-16,120224722.2
2012-08-17,129031273.5
2012-08-18,109353078.7
2012-08-19,97153395.95
2012-08-20,125090585.2
2012-08-21,135151602.2
2012-08-22,123135229
2012-08-23,120155592.9
2012-08-24,117956540.1
2012-08-25,102996418.7
2012-08-26,94054587.61
2012-08-27,123743931.1
2012-08-28,121534081.5
2012-08-29,121517821.7
2012-08-30,115954127.2
2012-08-31,109698791.7
2012-09-01,81073481.98
2012-09-02,64436850.89
2012-09-03,93221080.21
2012-09-04,97755876.43
2012-09-05,95800342.5
2012-09-06,92357299.41
2012-09-07,90400596.51
2012-09-08,77039825.07
2012-09-09,61951589.59
2012-09-10,85386864.68
2012-09-11,91140070.3
2012-09-12,89875153.69
2012-09-13,90784827.2
2012-09-14,87139692.23
2012-09-15,76155043.16
2012-09-16,63889098.63
2012-09-17,85770485.74
2012-09-18,92453911.69
2012-09-19,91209685.19
2012-09-20,90561387.15
2012-09-21,90772894.18
2012-09-22,78735356.18
2012-09-23,66190444.25
2012-09-24,87598317.1
2012-09-25,93974482.88
2012-09-26,90885267.86
2012-09-27,89584541.34
2012-09-28,77654806.31
2012-09-29,47966282.88
2012-09-30,39757769.36
2012-10-01,41551137.15
2012-10-02,56380151.74
2012-10-03,66063881.57
2012-10-04,89282055.07
2012-10-05,97071588.16
2012-10-06,82110380.65
2012-10-07,69325507.61
2012-10-08,95409602.58
2012-10-09,98203947.27
2012-10-10,101179866.7
2012-10-11,97698768.82
2012-10-12,97712822.79
2012-10-13,80900904.15
2012-10-14,65201102.18
2012-10-15,93330227.64
2012-10-16,93489853.58
2012-10-17,96300351.02
2012-10-18,99806165.81
2012-10-19,94064334.83
2012-10-20,74894076.27
2012-10-21,63378873.98
2012-10-22,86148737.75
2012-10-23,92392525.3
2012-10-24,91420118.5
2012-10-25,94127051.56
2012-10-26,89686677.67
2012-10-27,78183342.27
2012-10-28,65373068.65
2012-10-29,95426319.35
2012-10-30,105747213.1
2012-10-31,107951582.1
2012-11-01,99556523.8
2012-11-02,93675624.21
2012-11-03,80060647.64
2012-11-04,71256945.88
2012-11-05,92963503.76
2012-11-06,103201077.1
2012-11-07,106487928.9
2012-11-08,100677143.6
2012-11-09,101116743.3
2012-11-10,81466778.86
2012-11-11,70806409.05
2012-11-12,95711536.99
2012-11-13,107885238.7
2012-11-14,110206491.5
2012-11-15,106734878.3
2012-11-16,109639133.9
2012-11-17,86955709.84
2012-11-18,74343241.87
2012-11-19,103973223.1
2012-11-20,116982674.6
2012-11-21,114403435.1
2012-11-22,108787908.4
2012-11-23,110272392.9
2012-11-24,88389198.22
2012-11-25,74307904.01
2012-11-26,104546823.1
2012-11-27,109220912
2012-11-28,105976737.1
2012-11-29,106506077.6
2012-11-30,107267991
2012-12-01,91484121.16
2012-12-02,75286104.15
2012-12-03,113903366
2012-12-04,121510533.7
2012-12-05,123191303.2
2012-12-06,132252683.9
2012-12-07,130423539.4
2012-12-08,104502643.7
2012-12-09,87103225.43
2012-12-10,129440044
2012-12-11,135601275.4
2012-12-12,132429671.5
2012-12-13,132449533.4
